LAT	IT	DE	FR	ES	PT	EN
Dendrocygna viduata	Dendrocigna facciabianca	Witwenpfeifgans	Dendrocygne veuf	Suirirí Cariblanco	Irere	White-faced Whistling-Duck
Anser indicus	Oca indiana	Streifengans	Oie à tête barrée	Ánsar indio	Ganso-de-cabeça-listada	Bar-headed Goose
Anser caerulescens	Oca delle nevi	Schneegans	Oie des neiges	Ánsar nival	Ganso-das-neves	Snow Goose
Anser rossii	Oca di Ross	Zwergschneegans	Oie de Ross	Ánsar de Ross	Ganso de Ross	Ross's Goose
Anser caerulescens x rossii			Hybride Oie des neiges x Oie de Ross			Snow x Ross's Goose (hybrid)
Anser caerulescens/rossii			Oie des neiges ou de Ross			Snow/Ross's Goose
Anser anser	Oca selvatica	Graugans	Oie cendrée	Ánsar común	Ganso-comum	Graylag Goose
Anser anser anser		Westliche Graugans	Oie cendrée (nominal)			Graylag Goose (European)
Anser anser rubrirostris		Östliche Graugans	Oie cendrée (Asie)			Graylag Goose (Siberian)
Anser anser (Domestic type)	Oca selvatica	Graugans	Oie cendrée (forme domestique)	Ánsar común	Ganso-comum	Graylag Goose (Domestic type)
Anser cygnoides	Oca cigno	Schwanengans	Oie cygnoïde	Ánsar cisnal	Ganso-cisne	Swan Goose
Anser albifrons	Oca lombardella	Bläßgans	Oie rieuse	Ánsar careto	Ganso-grande-de-testa-branca	Greater White-fronted Goose
Anser albifrons flavirostris	Oca lombardella di Groenlandia	Grönlandische Blässgans	Oie rieuse (Groenland)	Ánsar careto de Groenlandia		Greater White-fronted Goose (Greenland)
Anser albifrons albifrons	Oca lombardella europea	Bläßgans	Oie rieuse (nominal)	Ánsar careto grande de Europa		Greater White-fronted Goose (Eurasian)
Anser indicus x albifrons			Hybride Oie rieuse x O. à tête barrée			Bar-headed x Greater White-fronted Goose (hybrid)
Anser erythropus	Oca lombardella minore	Zwerggans	Oie naine	Ánsar chico	Ganso-pequeno-de-testa-branca	Lesser White-fronted Goose
Anser albifrons/erythropus			Oie rieuse ou O. naine			Greater/Lesser White-fronted Goose
Anser fabalis	Oca granaiola della taiga	Saatgans	Oie des moissons	Ánsar Campestre	Ganso-campestre	Taiga Bean-Goose
Anser serrirostris	Oca granaiola della tundra	Tundrasaatgans	Oie de la toundra	Ánsar Campestre de la Tundra		Tundra Bean-Goose
Anser fabalis/serrirostris	Oca granaiola	Saatgans	Oie des moissons	Ánsar campestre	Ganso-campestre	Taiga/Tundra Bean-Goose
Anser brachyrhynchus	Oca zamperosee	Kurzschnabelgans	Oie à bec court	Ánsar piquicorto	Ganso-de-bico-curto	Pink-footed Goose
Anser sp.			Anser sp.			Anser sp.
Branta bernicla	Oca colombaccio	Ringelgans	Bernache cravant	Barnacla Carinegra	Ganso-de-faces-negras	Brant
Branta bernicla bernicla	Oca colombaccio	Ringelgans	Bernache cravant	Barnacla carinegra	Ganso-de-faces-negras	Brant (Dark-bellied)
Branta bernicla hrota	Oca colombaccio atlantica	Hellbäuchige Ringelgans	Bernache à ventre pâle		Ganso-de-faces-negras	Brant (Atlantic)
Branta bernicla nigricans	Oca colombaccio di Lawrence	Lawrence Ringelgans	Bernache du Pacifique	Barnacla de Lawrence	Ganso-de-faces-negras	Brant (Black)
Branta bernicla (Gray-bellied)			Bernache cravant (intermédiaire)			Brant (Gray-bellied)
Anser caerulescens x Branta bernicla			Hybride Oie des neiges x Bernache cravant			Snow Goose x Brant (hybrid)
Branta leucopsis	Oca facciabianca	Weißwangengans	Bernache nonnette	Barnacla Cariblanca	Ganso-de-faces-brancas	Barnacle Goose
Anser albifrons x Branta leucopsis			Hybride Oie rieuse x Bernache nonnette			Greater White-fronted x Barnacle Goose (hybrid)
Anser anser x Branta leucopsis			Hybride Oie cendrée x Bernache nonnette			Graylag x Barnacle Goose (hybrid)
Branta hutchinsii hutchinsii	Oca della tundra	Hutschins Zwergkanadagans	Bernache de Hutchins (Richardson)			Cackling Goose (Richardson's)
Anser canagicus x Branta hutchinsii			Hybride Bernache de Hutchins x Oie empereur			Emperor x Cackling Goose (hybrid)
Branta leucopsis x hutchinsii			Hybride Bernache nonnette x B. de Hutchins			Barnacle x Cackling Goose (hybrid)
Branta canadensis	Oca canadese	Kanadagans	Bernache du Canada	Barnacla canadiense grande	Ganso do Canadá	Canada Goose
Branta canadensis moffitti/maxima		Moffits Kanadagans	Bernache du Canada [moffitti ou maxima]			Canada Goose (moffitti/maxima)
Branta canadensis occidentalis/fulva		Dunkle Kanadagans	Bernache du Canada [occidentalis ou fulva]			Canada Goose (occidentalis/fulva)
Branta canadensis [canadensis Group]			Bernache du Canada [canadensis, interior ou parvipes]			Canada Goose (canadensis Group)
Anser albifrons x Branta canadensis			Hybride Oie rieuse x Bernache du Canada			Greater White-fronted x Canada Goose (hybrid)
Anser anser x Branta canadensis			Hybride Oie cendrée x Bernache du Canada			Graylag x Canada Goose (hybrid)
Anser caerulescens x Branta canadensis			Hybride Oie des neiges x Bernache du Canada			Snow x Canada Goose (hybrid)
Branta leucopsis x canadensis			Hybride Bernache nonnette x B. du Canada			Barnacle x Canada Goose (hybrid)
Branta hutchinsii/canadensis	Oca del Canada	Kanadagans	Bernache du Canada	Barnacla Canadiense	Ganso do Canadá	Cackling/Canada Goose
Branta ruficollis	Oca collorosso	Rothalsgans	Bernache à cou roux	Barnacla cuelliroja	Ganso-de-pescoço-ruivo	Red-breasted Goose
Branta sp.			Branta sp.			Branta sp.
Anser/Branta sp.			Anserinae sp.			goose sp.
Cygnus olor	Cigno reale	Höckerschwan	Cygne tuberculé	Cisne Vulgar	Cisne-vulgar	Mute Swan
Cygnus columbianus	Cigno minore	Zwergschwan	Cygne siffleur	Cisne Chico	Cisne-pequeno	Tundra Swan
Cygnus columbianus columbianus	Cigno minore	Pfeifschwan	Cygne siffleur	Cisne silbador	Cisne-pequeno	Tundra Swan (Whistling)
Cygnus columbianus bewickii	Cigno minore	Zwergschwan	Cygne de Bewick	Cisne Chico	Cisne de Bewick	Tundra Swan (Bewick's)
Cygnus cygnus	Cigno selvatico	Singschwan	Cygne chanteur	Cisne Cantor	Cisne-bravo	Whooper Swan
Cygnus columbianus/cygnus			Cygne chanteur ou C. siffleur			Tundra/Whooper Swan
Cygnus sp.			Cygne sp.			swan sp.
Alopochen aegyptiaca	Oca egiziana	Nilgans	Ouette d'Égypte	Ganso del Nilo	Ganso do Egipto	Egyptian Goose
Tadorna ferruginea	Casarca	Rostgans	Tadorne casarca	Tarro Canelo	Pato-ferrugíneo	Ruddy Shelduck
Tadorna tadorna	Volpoca	Brandgans	Tadorne de Belon	Tarro Blanco	Pato-branco	Common Shelduck
Tadorna ferruginea x tadorna			Hybride Tadorne casarca x T. de Belon			Ruddy x Common Shelduck (hybrid)
Cairina moschata (Domestic type)	Anatra muta	Moschusente	Canard musqué (forme domestique)	Pato Criollo	Pato-do-mato	Muscovy Duck (Domestic type)
Aix sponsa	Anatra sposa	Brautente	Canard branchu	Pato Joyuyo	Pato-carolino	Wood Duck
Aix galericulata	Anatra mandarina	Mandarinente	Canard mandarin	Pato Mandarín	Pato-mandarim	Mandarin Duck
Sibirionetta formosa	Alzavola asiatica	Gluckente	Sarcelle élégante	Cerceta del Baikal	Pato de Baikal	Baikal Teal
Spatula querquedula	Marzaiola	Knäkente	Sarcelle d'été	Cerceta Carretona	Marreco	Garganey
Spatula discors	Marzaiola americana	Blauflügelente	Sarcelle à ailes bleues	Cerceta Aliazul	Pato-d'asa-azul	Blue-winged Teal
Spatula clypeata	Mestolone	Löffelente	Canard souchet	Cuchara Común 	Pato-trombeteiro	Northern Shoveler
Spatula discors x clypeata			Hybride Sarcelle à ailes bleues x Canard souchet			Blue-winged Teal x Northern Shoveler (hybrid)
Mareca strepera	Canapiglia	Schnatterente	Canard chipeau	Ánade friso	Frisada	Gadwall
Mareca strepera strepera		Schnatterente	Canard chipeau (nominal)			Gadwall (Common)
Mareca falcata	Anatra falcata	Sichelente	Canard à faucilles	Cerceta de Alfanjes	Marrequinha-de-foice	Falcated Duck
Mareca penelope	Fischione	Pfeifente	Canard siffleur	Silbón Europeo	Piadeira	Eurasian Wigeon
Mareca strepera x penelope			Hybride Canard siffleur x C. chipeau			Gadwall x Eurasian Wigeon (hybrid)
Mareca americana	Fischione americano	Kanadapfeifente	Canard d'Amérique	Silbón Americano	Piadeira-americana	American Wigeon
Mareca penelope x americana			Hybride Canard siffleur x C. d'Amérique			Eurasian x American Wigeon (hybrid)
Mareca penelope/americana			Canard siffleur ou C. d'Amérique			Eurasian/American Wigeon
Anas poecilorhyncha	Germano beccomacchiato	Indien-Fleckschnabelente	Canard à bec tacheté	Ánade picopinto indio	Pato-de-bico-pintado	Indian Spot-billed Duck
Anas poecilorhyncha/zonorhyncha	Anatra dal becco macchiato	Fleckschnabelente	Canard à bec tacheté	Anade Picopinto	Pato-de-bico-pintado	Indian/Eastern Spot-billed Duck
Anas platyrhynchos	Germano reale	Stockente	Canard colvert	Ánade azulón	Pato-real	Mallard
Anas platyrhynchos (Domestic type)	Germano reale	Stockente	Canard colvert (forme domestique)	Ánade azulón	Pato-real	Mallard (Domestic type)
Cairina moschata x Anas platyrhynchos			Hybride Canard colvert x C. musqué (forme domestique)			Muscovy Duck x Mallard (hybrid)
Aix sponsa x Anas platyrhynchos			Hybride Canard colvert x C. branchu			Wood Duck x Mallard (hybrid)
Spatula clypeata x Anas platyrhynchos			Hybride Canard colvert x C. souchet			Northern Shoveler x Mallard (hybrid)
Mareca strepera x Anas platyrhynchos			Hybride Canard chipeau x C. colvert			Gadwall x Mallard (hybrid)
Mareca penelope x Anas platyrhynchos			Hybride Canard siffleur x C. colvert			Eurasian Wigeon x Mallard (hybrid)
Anas platyrhynchos/diazi	Germano reale	Stockente	Canard colvert	Ánade Real	Pato-real	Mallard/Mexican Duck
Anas rubripes	Anatra nera americana	Dunkelente	Canard noir	Ánade sombrío	Pato-escuro-americano	American Black Duck
Anas platyrhynchos x rubripes			Hybride Canard colvert x C. noir			Mallard x American Black Duck (hybrid)
Anas platyrhynchos/rubripes			Canard noir ou C. colvert			Mallard/American Black Duck
Anas acuta	Codone	Spießente	Canard pilet	Ánade rabudo norteño	Arrabio	Northern Pintail
Sibirionetta formosa x Anas acuta			Hybride Sarcelle élégante x Canard pilet			Baikal Teal x Northern Pintail (hybrid)
Mareca penelope x Anas acuta			Hybride Canard siffleur x C. pilet			Eurasian Wigeon x Northern Pintail (hybrid)
Anas platyrhynchos x acuta			Hybride de Canard colvert x C. pilet			Mallard x Northern Pintail (hybrid)
Anas rubripes x acuta			Hybride Canard noir x C. pilet			American Black Duck x Northern Pintail (hybrid)
Anas crecca	Alzavola	Krickente	Sarcelle d'hiver	Cerceta Común	Marrequinha-comum	Green-winged Teal
Anas crecca crecca	Alzavola	Krickente	Sarcelle d'hiver	Cerceta común	Marrequinha-comum	Green-winged Teal (Eurasian)
Anas crecca carolinensis	Alzavola americana	Carolinakrickente	Sarcelle à ailes vertes	Cerceta americana	Marrequinha-americana	Green-winged Teal (American)
Anas crecca crecca x carolinensis			Hybride Sarcelle d'hiver x S. à ailes vertes			Green-winged Teal (Eurasian x American)
Spatula querquedula/Anas crecca			Sarcelle d'été ou S. d'hiver			Garganey/Green-winged Teal
Mareca strepera x Anas crecca			Hybride Canard chipeau x Sarcelle d'hiver			Gadwall x Green-winged Teal (hybrid)
Anas platyrhynchos x crecca			Hybride Sarcelle d'hiver x Canard colvert			Mallard x Green-winged Teal (hybrid)
Anas andium/flavirostris	macchiettata	Andenente	Sarcelle tachetée	Cerceta Barcina	Marreca-pintada	Andean/Yellow-billed Teal
Anas sp.			Anas sp.			Anas sp.
Anatidae sp. (teal sp.)			Sarcelle sp.			teal sp.
Anatidae sp. (dabbling duck sp.)			Anatidé sp. (Canard barboteur sp.)			dabbling duck sp.
Marmaronetta angustirostris	Anatra marmorizzata	Marmelente	Marmaronette marbrée	Cerceta Pardilla	Pardilheira	Marbled Teal
Netta rufina	Fistione turco	Kolbenente	Nette rousse	Pato Colorado	Pato-de-bico-vermelho	Red-crested Pochard
Anas platyrhynchos x Netta rufina			Hybride Canard colvert x Nette rousse			Mallard x Red-crested Pochard (hybrid)
Aythya valisineria	Moriglione beccolungo	Riesentafelente	Fuligule à dos blanc	Porrón Coacoxtle	Zarro-grande	Canvasback
Aythya americana	Moriglione americano	Rotkopfente	Fuligule à tête rouge	Porrón Americano	Zarro-americano	Redhead
Aythya ferina	Moriglione	Tafelente	Fuligule milouin	Porrón Europeo	Zarro-comum	Common Pochard
Aythya collaris	Moretta dal collare	Ringschnabelente	Fuligule à collier	Porrón Acollarado	Zarro-de-colar	Ring-necked Duck
Aythya nyroca	Moretta tabaccata	Moorente	Fuligule nyroca	Porrón Pardo	Zarro-castanho	Ferruginous Duck
Aythya ferina x nyroca			Hybride Fuligule milouin x F. nyroca			Common Pochard x Ferruginous Duck (hybrid)
Aythya fuligula	Moretta	Reiherente	Fuligule morillon	Porrón Moñudo	Zarro-negrinha	Tufted Duck
Aythya ferina x fuligula			Hybride Fuligule milouin x F. morillon			Common Pochard x Tufted Duck (hybrid)
Aythya collaris x fuligula			Hybride Fuligule à collier x F. morillon			Ring-necked x Tufted Duck (hybrid)
Aythya nyroca x fuligula			Hybride Fuligule nyroca x F. morillon			Ferruginous x Tufted Duck (hybrid)
Aythya marila	Moretta grigia	Bergente	Fuligule milouinan	Porrón Bastardo	Zarro-bastardo	Greater Scaup
Aythya fuligula x marila			Hybride Fuligule morillon x F. milouinan			Tufted Duck x Greater Scaup (hybrid)
Aythya affinis	Moretta grigia minore	Kanadabergente	Petit Fuligule	Porrón Bola	Negrelho-americano	Lesser Scaup
Aythya fuligula x marila/affinis			Hybride Fuligule morillon x Fuligule sp.			Tufted Duck x scaup sp. (hybrid)
Aythya sp.			Aythya sp.			Aythya sp.
Polysticta stelleri	Edredone di Steller	Scheckente	Eider de Steller	Éider menor	Eider de Steller	Steller's Eider
Somateria fischeri	Edredone dagli occhiali	Plüschkopfente	Eider à lunettes	Éider de anteojos	Eider-de-lunetas	Spectacled Eider
Somateria spectabilis	Re degli edredoni	Prachteiderente	Eider à tête grise	Éider real	Eider-real	King Eider
Somateria mollissima	Edredone	Eiderente	Eider à duvet	Éider común	Eider-edredão	Common Eider
Somateria mollissima mollissima	Edredone comune	Europäische Eiderente	Eider à duvet (nominal)	Eider común		Common Eider (Eurasian)
Somateria mollissima faeroeensis			Eider des Faroés			Common Eider (Faeroe Is.)
Somateria mollissima v-nigrum			Eider à duvet (Pacifique)			Common Eider (Pacific)
Somateria mollissima borealis		Kanadische Eiderente	Eider à duvet (boréale)			Common Eider (Northern)
Somateria spectabilis/mollissima			Eider à tête grise ou E. à duvet			King/Common Eider
Somateria spectabilis x mollissima			Hybride Eider à duvet x E. à tête grise			King x Common Eider (hybrid)
Somateria sp.			Somateria sp.			eider sp.
Histrionicus histrionicus	Moretta arlecchino	Kragenente	Arlequin plongeur	Pato Arlequín	Pato-arlequim	Harlequin Duck
Melanitta perspicillata	Orco marino dagli occhiali	Brillenente	Macreuse à front blanc	Negrón Careto	Pato-careto	Surf Scoter
Melanitta fusca	Orco marino	Samtente	Macreuse brune	Negrón especulado	Pato-fusco	Velvet Scoter
Melanitta deglandi	Orco marino del Pacifico	Höckersamtente	Macreuse à ailes blanches	Negrón aliblanco	negrola-d'asa-branca-americana	White-winged Scoter
Melanitta stejnegeri	Orco marino asiatico	Kamtschatkasamtente	Macreuse de Sibérie	Negrón siberiano		Stejneger's Scoter
Melanitta fusca/deglandi/stejnegeri	Orco marino	Samtente	Macreuse brune	Negrón Especulado	Pato-fusco	Velvet/White-winged/Stejneger's Scoter
Melanitta deglandi/stejnegeri	Orco marino del Pacifico	Höckersamtente	Macreuse à ailes blanches	Negrón aliblanco	negrola-d'asa-branca-americana	White-winged/Stejneger's Scoter
Melanitta nigra	Orchetto marino	Trauerente	Macreuse noire	Negrón común	Pato-preto	Common Scoter
Melanitta americana	Orchetto marino americano	Pazifiktrauerente	Macreuse à bec jaune	Negrón americano		Black Scoter
Melanitta nigra/americana	Orchetto marino	Trauerente	Macreuse noire	Negrón Común	Pato-preto	Common/Black Scoter
Melanitta sp.			Melanitta sp.			scoter sp.
Clangula hyemalis	Moretta codona	Eisente	Harelde kakawi	Pato Havelda	Pato-de-cauda-afilada	Long-tailed Duck
Bucephala albeola	Quattrocchi minore	Büffelkopfente	Petit Garrot	Porrón Albeola	Pato-de-touca-branca	Bufflehead
Bucephala clangula	Quattrocchi	Schellente	Garrot à oeil d'or	Porrón Osculado	Pato-olho-d'ouro	Common Goldeneye
Bucephala islandica	Quattrocchi d'Islanda	Spatelente	Garrot d'Islande	Porrón Islándico	Pato da Islândia	Barrow's Goldeneye
Mergellus albellus	Pesciaiola	Zwergsäger	Harle piette	Serreta Chica	Merganso-pequeno	Smew
Lophodytes cucullatus	Smergo dal cappuccio	Kappensäger	Harle couronné	Serreta Capuchona	Merganso-capuchinho	Hooded Merganser
Mergus merganser	Smergo maggiore	Gänsesäger	Grand Harle	Serreta Grande	Merganso-grande	Common Merganser
Mergus merganser merganser/orientalis	Smergo maggiore	Gänsesäger	Grand Harle	Serreta Grande	Merganso-grande	Common Merganser (Eurasian)
Mergus serrator	Smergo minore	Mittelsäger	Harle huppé	Serreta Mediana	Merganso-de-poupa	Red-breasted Merganser
Mergus merganser/serrator			Grand Harle ou H. huppé			Common/Red-breasted Merganser
Mergellus/Lophodytes/Mergus sp.			Harle sp.			merganser sp.
Oxyura jamaicensis	Gobbo della Giamaica	Schwarzkopf-Ruderente	Érismature rousse	Malvasía canela	pato-rabo-alçado-americano	Ruddy Duck
Oxyura leucocephala	Gobbo rugginoso	Weißkopf-Ruderente	Érismature à tête blanche	Malvasía Cabeciblanca	Pato-de-rabo-alçado	White-headed Duck
Oxyura jamaicensis x leucocephala			Hybride Érismature rousse x É. à tête blanche			Ruddy x White-headed Duck (hybrid)
Anatinae sp.			Anatidé sp.			duck sp.
Anatidae sp.			Sauvagine sp.			waterfowl sp.
Numida meleagris	Faraona	Helmperlhuhn	Pintade de Numidie	Pintada Común	Fraca da Guiné	Helmeted Guineafowl
Numida meleagris meleagris/somaliensis	Faraona comune	Helmperlhuhn	Pintade de Numidie [nominal]	Pintada Común	Fraca da Guiné	Helmeted Guineafowl (Helmeted)
Colinus virginianus [virginianus Group]	Colino della Virginia	Virginiawachtel	Colin de Virginie	Colín de Virginia	Codorniz da Virgínia	Northern Bobwhite (Eastern)
Coturnix coturnix	Quaglia	Wachtel	Caille des blés	Codorniz Común	Codorniz	Common Quail
Alectoris graeca	Coturnice	Steinhuhn	Perdrix bartavelle	Perdiz Griega	Perdiz-das-rochas	Rock Partridge
Alectoris graeca [graeca Group]	Coturnice delle Alpi	Alpensteinhuhn	Perdrix bartavelle [graeca ou saxatilis]	Perdiz griega-saxatilis		Rock Partridge (European)
Alectoris graeca whitakeri	Coturnice di Sicilia	Steinhuhn-whitakeri	Perdrix bartavelle (Sicile)	Perdiz griega-whitakeri		Rock Partridge (Sicilian)
Alectoris chukar	Coturnice orientale	Chukarhuhn	Perdrix choukar	Perdiz chúcar	Perdiz-chukar	Chukar
Alectoris rufa	Pernice rossa	Rothuhn	Perdrix rouge	Perdiz Roja	Perdiz-comum	Red-legged Partridge
Alectoris graeca x rufa			Hybride Perdrix bartavelle x P. rouge			Rock x Red-legged Partridge (hybrid)
Alectoris graeca/rufa			Perdrix bartavelle ou P. rouge			Rock/Red-legged Partridge
Alectoris barbara	Pernice sarda	Felsenhuhn	Perdrix gambra	Perdiz Moruna	Perdiz-moura	Barbary Partridge
Tetraogallus caspius	Tetraogallo del Caspio	Kaspikönigshuhn	Tétraogalle de Perse	Perdigallo del Caspio	Galo-das-neves do Cáspio	Caspian Snowcock
Francolinus francolinus	Francolino	Halsbandfrankolin	Francolin noir	Francolín Ventrinegro	Francolim-escuro	Black Francolin
Francolinus francolinus francolinus/arabistanicus			Francolin noir [francolinus ou arabistanicus]			Black Francolin (Western)
Syrmaticus reevesii	Fagiano venerato	Königsfasan	Faisan vénéré	Faisán Venerado	Faisão-venerado	Reeves's Pheasant
Chrysolophus pictus	Fagiano dorato	Goldfasan	Faisan doré	Faisán Dorado	Faisão-dourado	Golden Pheasant
Phasianus colchicus	Fagiano comune	Fasan	Faisan de Colchide	Faisán Vulgar	Faisão	Ring-necked Pheasant
Phasianus colchicus [colchicus Group]	Fagiano comune	Jagdfasan	Faisan de Colchide	Faisán Vulgar	Faisão	Ring-necked Pheasant (Ring-necked)
Phasianinae sp.			Faisan sp.			pheasant sp.
Perdix perdix	Starna	Rebhuhn	Perdrix grise	Perdiz Pardilla	Perdiz-cinzenta	Gray Partridge
Tetrao urogallus	Gallo cedrone	Auerhuhn	Grand Tétras	Urogallo Común	Tetraz	Western Capercaillie
Tetrao tetrix	Fagiano di monte	Birkhuhn	Tétras lyre	Gallo lira común	Galo-lira	Black Grouse
Tetrao urogallus x tetrix			Hybride Tétras lyre x Grand Tétras			Western Capercaillie x Black Grouse (hybrid)
Tetrastes bonasia	Francolino di monte	Haselhuhn	Gélinotte des bois	Grévol Común	Galinha-do-mato	Hazel Grouse
Lagopus lagopus	Pernice bianca nordica	Moorschneehuhn	Lagopède des saules	Lagópodo Común	Lagópode-cinzento	Willow Ptarmigan
Lagopus lagopus scotica		Schottisches Moorschneehuhn	Lagopède d'Écosse	Lagópodo escocés 	Lagópode-escocês	Willow Ptarmigan (Red Grouse)
Lagopus lagopus [lagopus Group]	Pernice bianca nordica	Moorschneehuhn	Lagopède des saules	Lagópodo	Lagópode-cinzento	Willow Ptarmigan (Willow)
Lagopus muta	Pernice bianca	Alpenschneehuhn	Lagopède alpin	Lagópodo Alpino	Lagópode-branco	Rock Ptarmigan
Lagopus sp.			Lagopus sp.			ptarmigan sp.
Tetraoninae sp.			Tetraoniné sp.			grouse sp.
Phoenicopterus ruber	Fenicottero americano	Kubaflamingo	Flamant des Caraïbes	Flamenco rojo	Flamingo	American Flamingo
Phoenicopterus roseus	Fenicottero	Rosaflamingo	Flamant rose	Flamenco Común	Flamingo-comum	Greater Flamingo
Phoenicopterus ruber/roseus	Fenicottero rosa	Rosaflamingo	Flamant rose	Flamenco Común	Flamingo-comum	American/Greater Flamingo
Phoeniconaias minor	Fenicottero minore	Zwergflamingo	Flamant nain	Flamenco Enano	Flamingo-pequeno	Lesser Flamingo
Tachybaptus ruficollis	Tuffetto	Zwergtaucher	Grèbe castagneux	Zampullín Común	Mergulhão-pequeno	Little Grebe
Tachybaptus ruficollis [ruficollis Group]	Tuffetto	Zwergtaucher	Grèbe castagneux	Zampullín Común	Mergulhão-pequeno	Little Grebe (Little)
Podilymbus podiceps	Podilimbo	Bindentaucher	Grèbe à bec bigarré	Zampullín Picogrueso	Mergulhão-caçador	Pied-billed Grebe
Podiceps auritus	Svasso cornuto	Ohrentaucher	Grèbe esclavon	Zampullín Cuellirrojo	Mergulhão-de-pescoço-castanho	Horned Grebe
Podiceps grisegena	Svasso collorosso	Rothalstaucher	Grèbe jougris	Somormujo Cuellirrojo	Mergulhão-de-pescoço-ruivo	Red-necked Grebe
Podiceps cristatus	Svasso maggiore	Haubentaucher	Grèbe huppé	Somormujo Lavanco	Mergulhão-de-crista	Great Crested Grebe
Podiceps nigricollis	Svasso piccolo	Schwarzhalstaucher	Grèbe à cou noir	Zampullín Cuellinegro	Mergulhão-de-pescoço-preto	Eared Grebe
Podiceps auritus/nigricollis			Grèbe cornu ou G. à cou noir			Horned/Eared Grebe
Podiceps sp.			Podiceps sp.			Podiceps sp.
Podicipedidae sp.			Grèbe sp.			grebe sp.
Columba livia	Piccione selvatico	Felsentaube	Pigeon biset	Paloma Bravía	Pombo-doméstico	Rock Pigeon
Columba livia (Wild type)	Piccione selvatico	Felsentaube	Pigeon biset	Paloma Bravía	Pombo-doméstico	Rock Pigeon (Wild type)
Columba livia (Feral Pigeon)	Piccione selvatico	Felsentaube	Pigeon biset (forme domestique)	Paloma Bravía	Pombo-doméstico	Rock Pigeon (Feral Pigeon)
Columba oenas	Colombella	Hohltaube	Pigeon colombin	Paloma Zurita	Pombo-bravo	Stock Dove
Columba palumbus	Colombaccio	Ringeltaube	Pigeon ramier	Paloma Torcaz	Pombo-torcaz	Common Wood-Pigeon
Columba palumbus [palumbus Group]		Ringeltaube-palumbus	Pigeon ramier [palumbus]			Common Wood-Pigeon (White-necked)
Columba trocaz	Colomba di Madera	Silberhalstaube	Pigeon trocaz	Paloma de Madeira	Pombo da Madeira	Trocaz Pigeon
Columba bollii	Colomba di Bolle	Bolles Lorbeertaube	Pigeon de Bolle	Paloma Turqué	Pombo de Bolle	Bolle's Pigeon
Columba junoniae	Colomba dei lauri	Lorbeertaube	Pigeon des lauriers	Paloma Rabiche	Pombo das Canárias	Laurel Pigeon
Columba sp.			Columba sp.			Columba sp.
Ectopistes migratorius	Piccione migratore	Wandertaube	Tourte voyageuse	paloma migratoria	Pombo-viajante	Passenger Pigeon
Streptopelia turtur	Tortora selvatica	Turteltaube	Tourterelle des bois	Tórtola Europea	Rola-comum	European Turtle-Dove
Streptopelia orientalis	Tortora orientale	Orientturteltaube	Tourterelle orientale	Tórtola Oriental	Rola-oriental	Oriental Turtle-Dove
Streptopelia decaocto	Tortora dal collare	Türkentaube	Tourterelle turque	Tórtola Turca	Rola-turca	Eurasian Collared-Dove
Streptopelia decaocto decaocto	Tortora dal collare orientale	Türkentaube	Tourterelle turque	Tórtola turca		Eurasian Collared-Dove (Eurasian)
Streptopelia roseogrisea	Tortora dal collare africana	Lachtaube	Tourterelle rieuse	Tórtola Rosigrís	Rola-mansa	African Collared-Dove
Streptopelia decaocto/roseogrisea			Tourterelle turque ou T. rieuse			Eurasian/African Collared-Dove
Streptopelia senegalensis	Tortora delle palme	Palmtaube	Tourterelle maillée	Tórtola Senegalesa	Rola do Senegal	Laughing Dove
Streptopelia sp.			Streptopelia sp.			Streptopelia sp.
Zenaida aurita	Tortora di Zenaide	Liebestaube	Tourterelle à queue carrée	Zenaida Caribeña		Zenaida Dove
Zenaida macroura	Tortora americana	Carolinataube	Tourterelle triste	Zenaida Huilota	Rola-carpideira	Mourning Dove
Columbidae sp.			Pigeon sp.			pigeon/dove sp.
Syrrhaptes paradoxus	Sirratte	Steppenflughuhn	Syrrhapte paradoxal	Ganga de Pallas	Cortiçol de Pallas	Pallas's Sandgrouse
Pterocles alchata	Grandule	Spießflughuhn	Ganga cata	Ganga Ibérica	Cortiçol-de-barriga-branca	Pin-tailed Sandgrouse
Pterocles alchata alchata		Spiessflughuhn-alchata	Ganga cata (nominal)			Pin-tailed Sandgrouse (Iberian)
Pterocles alchata caudacutus		Spiessflughuhn-caudacutus	Ganga cata (à queue pointue)			Pin-tailed Sandgrouse (Pin-tailed)
Pterocles orientalis	Ganga	Sandflughuhn	Ganga unibande	Ganga Ortega	Cortiçol-de-barriga-preta	Black-bellied Sandgrouse
Pterocles quadricinctus	Grandule quattrobande	Buschflughuhn	Ganga quadribande	Ganga Cuadricinta	Cortiçol-dourado	Four-banded Sandgrouse
Pterocles sp.			Pterocles sp.			sandgrouse sp.
Otis tarda	Otarda	Großtrappe	Grande Outarde	Avutarda Euroasiática	Abetarda-comum	Great Bustard
Chlamydotis undulata	Ubara africana	Saharakragentrappe	Outarde houbara	Avutarda hubara africana	Abetarda-moura	Houbara Bustard
Chlamydotis undulata fuertaventurae		Kragentrappe-fuertaventurae	Outarde houbara (îles Canaries)			Houbara Bustard (Canary Is.)
Chlamydotis macqueenii	Ubara asiatica	Steppenkragentrappe	Outarde de Macqueen	Avutarda hubara asiática	Abetarda de MacQueen	Macqueen's Bustard
