LAT	IT	DE	FR	ES	PT	EN
Petrochelidon pyrrhonota	Rondine rupestre americana	Fahlstirnschwalbe	Hirondelle à front blanc	Golondrina Risquera	Andorinha-de-dorso-acanelado	Cliff Swallow
Petrochelidon pyrrhonota [pyrrhonota Group]	Rondine rupestre americana	Fahlstirnschwalbe	Hirondelle à front blanc [pyrrhonota, tachina or ganieri]	Golondrina de las Rocas		Cliff Swallow (pyrrhonota Group)
Delichon urbicum	Balestruccio	Mehlschwalbe	Hirondelle de fenêtre	Avión Común	Andorinho-dos-beirais	Common House-Martin
Delichon urbicum urbicum/meridionale	Balestruccio	Mehlschwalbe	Hirondelle de fenêtre	Avión Común	Andorinho-dos-beirais	Common House-Martin (Western)
Delichon urbicum lagopodum		Mehlschwalbe-lagopoda	Hirondelle de Pallas	Avión común oriental		Common House-Martin (Eastern)
Hirundo rustica x Delichon urbicum			Hybride Hirondelle rustique x H. de fenêtre			Barn Swallow x Common House-Martin (hybrid)
Delichon urbicum/dasypus	Balestruccio	Mehlschwalbe	Hirondelle de fenêtre	Avión Común	Andorinho-dos-beirais	Common/Asian House-Martin
Delichon sp.			Delichon sp.			house-martin sp.
Hirundinidae sp.			Hirondelle sp.			swallow sp.
Pycnonotus barbatus	Bulbul golanera	Graubülbül	Bulbul des jardins	Bulbul Naranjero	Tuta-negra	Common Bulbul
Pycnonotus xanthopygos	Bulbul dagli occhiali bianchi	Gelbsteißbülbül	Bulbul d'Arabie	Bulbul Árabe	Tuta-de-lunetas	White-spectacled Bulbul
Pycnonotus leucotis	Bulbul orecchie bianche	Weißohrbülbül	Bulbul à oreillons blancs	Bulbul Orejiblanco		White-eared Bulbul
Phylloscopus sibilatrix	Luì verde	Waldlaubsänger	Pouillot siffleur	Mosquitero Silbador	Felosa-assobiadeira	Wood Warbler
Phylloscopus bonelli	Luì bianco	Berglaubsänger	Pouillot de Bonelli	Mosquitero Papialbo	Felosa de Bonelli	Western Bonelli's Warbler
Phylloscopus orientalis	Luì bianco orientale	Balkanlaubsänger	Pouillot oriental	Mosquitero Oriental	Felosa do Levante	Eastern Bonelli's Warbler
